seqnames	start	end	width	strand	closest_gene	strand_gene	collision	reassigned	reassigned.to	CD13_BM_01	CD13_BM_03	CD13_BM_06	CD13_BM_12	CD13_BM_18	CD13_BM_24	CD13_BM_30	CD13_BM_36	CD14_PB_01	CD14_PB_03	CD14_PB_06	CD14_PB_09	CD14_PB_12	CD14_PB_18	CD14_PB_24	CD14_PB_30	CD14_PB_36	CD15_BM_01	CD15_BM_03	CD15_BM_06	CD15_BM_12	CD15_BM_18	CD15_BM_24	CD15_BM_30	CD15_BM_36	CD15_PB_01	CD15_PB_03	CD15_PB_06	CD15_PB_09	CD15_PB_18	CD15_PB_30	CD15_PB_36	CD19_BM_01	CD19_BM_03	CD19_BM_06	CD19_BM_12	CD19_BM_18	CD19_BM_24	CD19_BM_30	CD19_BM_36	CD19_PB_01	CD19_PB_03	CD19_PB_06	CD19_PB_09	CD19_PB_12	CD19_PB_24	CD19_PB_30	CD19_PB_36	CD34_BM_00	CD34_BM_01	CD34_BM_03	CD34_BM_06	CD34_BM_12	CD34_BM_18	CD34_BM_24	CD34_BM_30	CD34_BM_36	CD3_BM_01	CD3_BM_03	CD3_BM_06	CD3_BM_12	CD3_BM_18	CD3_BM_24	CD3_BM_30	CD3_BM_36	CD3_PB_01	CD3_PB_03	CD3_PB_06	CD3_PB_09	CD3_PB_12	CD3_PB_18	CD3_PB_24	CD3_PB_30	CD3_PB_36	CD56_BM_01	CD56_BM_03	CD56_BM_06	CD56_BM_12	CD56_BM_18	CD56_BM_24	CD56_BM_30	CD56_BM_36	CD56_PB_01	CD56_PB_03	CD56_PB_06	CD56_PB_09	CD56_PB_12	CD56_PB_18	CD56_PB_24	CD56_PB_30	CD56_PB_36	CD61_BM_01	CD61_BM_03	CD61_BM_06	CD61_BM_12	CD61_BM_30	CFC_BM_00	CFC_BM_03	CFC_BM_12	CFC_BM_18	CFC_BM_24	CFC_BM_30	CFC_PB_12	CFC_PB_18	CFC_PB_24	CFC_PB_30	GLY_BM_01	GLY_BM_03	GLY_BM_06	GLY_BM_12	GLY_BM_18	GLY_BM_30	GLY_BM_36	MNC_BM_01	MNC_BM_03	MNC_BM_06	MNC_BM_12	MNC_BM_18	MNC_BM_24	MNC_BM_30	MNC_BM_36	MNC_PB_01	MNC_PB_03	MNC_PB_06	MNC_PB_09	MNC_PB_12	MNC_PB_18	MNC_PB_24	MNC_PB_30	MNC_PB_36	WHOLE.BM_BM_01	WHOLE.BM_BM_03	WHOLE.BM_BM_06	WHOLE.BM_BM_12	WHOLE.BM_BM_18	WHOLE.BM_BM_24	WHOLE.BM_BM_30	WHOLE.BM_BM_36	WHOLE.PB_PB_01	WHOLE.PB_PB_03	WHOLE.PB_PB_06	WHOLE.PB_PB_09	WHOLE.PB_PB_12	WHOLE.PB_PB_18	WHOLE.PB_PB_24	WHOLE.PB_PB_30	WHOLE.PB_PB_36
chr13	49015129	49015129	1	+	LPAR6	-	FALSE	FALSE																																																																																																																						15																														
chr13	49017430	49017430	1	+	LPAR6	-	FALSE	FALSE																									10															10													1				18																																											1			60										2								1	4																										
chr13	49556055	49556055	1	+	FNDC3A	+	FALSE	FALSE																																																																																																											331																																									
chr13	49568609	49568609	1	-	FNDC3A	+	FALSE	FALSE							3																																																																																																																																													
chr13	49579681	49579681	1	+	FNDC3A	+	FALSE	FALSE																																																			34																																																																																																	
chr13	49599041	49599041	1	+	FNDC3A	+	FALSE	FALSE																																												4																																																																																																								
chr13	49691867	49691867	1	+	FNDC3A	+	FALSE	FALSE																																																		23																																																																																																		
chr13	49747734	49747734	1	-	FNDC3A	+	FALSE	FALSE																																																				7																																																																																																
chr13	49772610	49772610	1	+	FNDC3A	+	FALSE	FALSE																											8																																																																																																																									
chr13	49775365	49775365	1	+	FNDC3A	+	FALSE	FALSE																				1																																																																																																																																
chr13	49777071	49777071	1	-	FNDC3A	+	FALSE	FALSE																																																																																																																																						1														
chr13	49973013	49973013	1	+	CAB39L	-	FALSE	FALSE																																																																																																			3																																																	
chr13	49975151	49975151	1	+	CAB39L	-	FALSE	FALSE																																																																																																																																																			3574	
chr13	49985035	49985035	1	+	CAB39L	-	FALSE	FALSE																									1148																																																																																																																											
chr13	50025160	50025160	1	-	SETDB2	+	FALSE	FALSE																																																																																																																																																			1	
chr13	50033353	50033353	1	+	SETDB2	+	FALSE	FALSE																							2306					30										13																									1																																					1				10																																												
chr13	50082174	50082174	1	-	PHF11	+	FALSE	FALSE																																																																																																																								288																												
chr13	50114044	50114044	1	+	RCBTB1	-	FALSE	FALSE			1																																																																																																																																																	
chr13	50151002	50151002	1	-	RCBTB1	-	FALSE	FALSE																																																																																																				1				278																																												
chr13	50290471	50290471	1	+	KPNA3	-	FALSE	FALSE																																																																																																		8																																																		
chr13	50303619	50303619	1	+	KPNA3	-	FALSE	FALSE																																								293																																														11																																																														
chr13	50332572	50332572	1	-	KPNA3	-	FALSE	FALSE																			1																																112																																																																																																	
chr13	50358417	50358417	1	+	KPNA3	-	FALSE	FALSE																																																																												5																																																																								
chr13	50631463	50631463	1	+	DLEU2	-	FALSE	FALSE								1538																																																																																															40																																3													
chr13	50640733	50640733	1	-	DLEU2	-	FALSE	FALSE																																																																																																																																																				700
chr13	50641285	50641285	1	-	DLEU2	-	FALSE	FALSE																						21			3																																	526																																																							928																						5							17						
chr13	50646212	50646212	1	+	DLEU2	-	FALSE	FALSE										7																																																																																																																																										
chr13	50652506	50652506	1	+	DLEU2	-	FALSE	FALSE																																																																																																																																														1						
chr13	51529543	51529543	1	+	RNASEH2B	+	FALSE	FALSE								53																																																																																																																																												
chr13	51999741	51999741	1	-	INTS6	-	FALSE	FALSE																																																																																																							2376																																													
chr13	52954715	52954715	1	+	THSD1	-	FALSE	FALSE																																																																																																											1																																									
chr13	55873016	55873016	1	-	MIR5007	+	FALSE	FALSE																																																																																			3																																																																	
chr13	56899786	56899786	1	-	PRR20D	+	FALSE	FALSE																																																																													1																																																																							
chr13	57142695	57142695	1	+	PRR20D	+	FALSE	FALSE																																																																																																																																											1									
chr13	57899635	57899635	1	+	PRR20C	+	FALSE	FALSE																											1																																																																																																																									
chr13	58189935	58189935	1	-	PCDH17	+	FALSE	FALSE																																						1																									3550																																					21				18	1																																											
chr13	59461087	59461087	1	+	LOC101926897	+	FALSE	FALSE																																																																																					61																																																															
chr13	61048440	61048440	1	-	TDRD3	+	FALSE	FALSE																																																																																																																																																				1
chr13	61109098	61109098	1	+	TDRD3	+	FALSE	FALSE																																									3								189																																																																																																			
chr13	61121034	61121034	1	+	TDRD3	+	FALSE	FALSE																																																																																				36																																																																
chr13	61992168	61992168	1	+	PCDH20	-	FALSE	FALSE									2051																														1712																																																					6																														3986																										4718
chr13	64507219	64507219	1	+	LOC102723968	-	FALSE	FALSE																																																																																																																											5																									
chr13	64701715	64701715	1	-	LOC102723968	-	FALSE	FALSE																																																																																																																										2																										9
chr13	64719211	64719211	1	-	LOC102723968	-	FALSE	FALSE																																																																																	2091	507																																																																		
chr13	65670735	65670735	1	+	MIR548X2	-	FALSE	FALSE																																						1																																																															3																																															
chr13	65787798	65787798	1	+	MIR548X2	-	FALSE	FALSE																																																																																												1088																																																								
chr13	66336942	66336942	1	+	MIR548X2	-	FALSE	FALSE																																																																																																																			62																																	
chr13	66517441	66517441	1	+	MIR548X2	-	FALSE	FALSE																																																																																																																																															6					
chr13	66559348	66559348	1	-	MIR548X2	-	FALSE	FALSE																																	889																																																																																																																			
chr13	66773647	66773647	1	-	MIR4704	+	FALSE	FALSE																		10																																																																																																																																		
chr13	66970814	66970814	1	+	PCDH9	-	FALSE	FALSE																			2																																																																																																																																	
chr13	68052254	68052254	1	-	LINC00364	+	FALSE	FALSE																	786																																																																																																																																			
chr13	68062985	68062985	1	+	LINC00364	+	FALSE	FALSE																																																																																																																											7																									
chr13	68147476	68147476	1	+	LINC00364	+	FALSE	FALSE																																58																																																																																																																				
chr13	69895641	69895641	1	+	LINC00383	+	FALSE	FALSE																																																																																																																										6																										
chr13	70466197	70466197	1	+	KLHL1	-	FALSE	FALSE																				1																																																																																																																																
chr13	70527380	70527380	1	+	KLHL1	-	FALSE	FALSE																																																																																																		61																																																		
chr13	71411129	71411129	1	-	LINC00348	+	FALSE	FALSE																																																																																																										662																																										
chr13	71438851	71438851	1	-	LINC00348	+	FALSE	FALSE																																																									1520																																																																																											
chr13	71473112	71473112	1	-	LINC00348	+	FALSE	FALSE																											7																																																																																																																									
chr13	71593183	71593183	1	+	LINC00348	+	FALSE	FALSE																																																															389																																					2				5																		197																										
chr13	72068411	72068411	1	+	DACH1	-	FALSE	FALSE																																																																													1																																																																							
chr13	72225370	72225370	1	-	DACH1	-	FALSE	FALSE																																																																																																																										1																										
chr13	72234516	72234516	1	-	DACH1	-	FALSE	FALSE																																																																																																																										227																										
chr13	72285714	72285714	1	-	DACH1	-	FALSE	FALSE							205																																																																																																				332																																									
chr13	72373805	72373805	1	+	DACH1	-	FALSE	FALSE																																																		19																																																																																																		
chr13	72428543	72428543	1	+	DACH1	-	FALSE	FALSE																			93																																																																																																																																	
chr13	72428598	72428598	1	-	DACH1	-	FALSE	FALSE																																																																																																																																						2														
chr13	74530102	74530102	1	+	KLF12	-	FALSE	FALSE																																																																																																		32																																																		
chr13	74591430	74591430	1	+	KLF12	-	FALSE	FALSE																											3																																																																																																																									
chr13	75493055	75493055	1	+	CTAGE11P	-	FALSE	FALSE																																																																																																		1																																																		
chr13	76133885	76133885	1	-	UCHL3	+	FALSE	FALSE																																																		1																																																																																																		
chr13	76373029	76373029	1	-	LMO7	+	FALSE	FALSE																																																																						21																																														2																																
chr13	76575908	76575908	1	+	LMO7DN	+	FALSE	FALSE																																																																																																																																																				872
chr13	77695728	77695728	1	-	MYCBP2	-	FALSE	FALSE																																																				28																																																																																																
chr13	77730758	77730758	1	+	MYCBP2	-	FALSE	FALSE																									70																																																																																																8259																											
chr13	77876048	77876048	1	-	MYCBP2	-	FALSE	FALSE								6																																																																																																																																												
chr13	77947613	77947613	1	-	MYCBP2	-	FALSE	FALSE																														63																																																																																																								5														
chr13	78662864	78662864	1	-	RNF219-AS1	+	FALSE	FALSE																																																				8																																																																																																
chr13	79200764	79200764	1	+	RNF219	-	FALSE	FALSE																	113																											8																																																																																																								
chr13	79909876	79909876	1	-	RBM26	-	FALSE	FALSE																																																																																																																										241																										
chr13	79910300	79910300	1	-	RBM26	-	FALSE	FALSE																																																																																																																																																18				
chr13	81286203	81286203	1	+	LINC00377	+	FALSE	FALSE																																																																																																																																														3						
chr13	81999003	81999003	1	-	LINC00564	-	FALSE	FALSE				2																																																																																																																																																
chr13	82926564	82926564	1	+	LINC00564	-	FALSE	FALSE																																		2																																																																																																																		
chr13	83137995	83137995	1	-	SLITRK1	-	FALSE	FALSE																																																																																																		1																																																		
chr13	83146751	83146751	1	-	SLITRK1	-	FALSE	FALSE																									1																																																																																																																											
chr13	83260731	83260731	1	-	SLITRK1	-	FALSE	FALSE																																																																												64																																																																								
chr13	83604625	83604625	1	+	SLITRK1	-	FALSE	FALSE																				1																																																																																																																																
chr13	83674410	83674410	1	-	SLITRK1	-	FALSE	FALSE																																																																																																		29																																																		
chr13	83868320	83868320	1	-	SLITRK1	-	FALSE	FALSE																																												4																																																																																																								
chr13	83962057	83962057	1	+	SLITRK1	-	FALSE	FALSE																				1															9												343								1																																													2	146			2																																												
chr13	84669444	84669444	1	-	LINC00333	+	FALSE	FALSE				1																																																																																																																																																
chr13	85150238	85150238	1	-	LINC00333	+	FALSE	FALSE																																																																																																																																																	36			
chr13	85289496	85289496	1	+	LINC00333	+	FALSE	FALSE																																																																													3																																																																							
chr13	85424951	85424951	1	-	LINC00375	-	FALSE	FALSE																								70																																																																3														5																																														
chr13	85499457	85499457	1	+	LINC00375	-	FALSE	FALSE																																																																																																																																			40																	
chr13	85501475	85501475	1	+	LINC00375	-	FALSE	FALSE				3																																																																																																																																																
chr13	85562729	85562729	1	+	LINC00375	-	FALSE	FALSE																																																																																																																																									848											
chr13	86284845	86284845	1	-	SLITRK6	-	FALSE	FALSE							13										548																																																																																						1671																																													
chr13	88336681	88336681	1	-	SLITRK5	+	FALSE	FALSE																																																																																																																			16																																	
chr13	89120215	89120215	1	-	LINC00433	+	FALSE	FALSE																																																		1																											2							1174																																																	8															
chr13	89443301	89443301	1	+	LINC00433	+	FALSE	FALSE									650																																																																																																																																											
chr13	89701723	89701723	1	+	LINC00440	+	FALSE	FALSE																																																																2																																																																																				
chr13	89926527	89926527	1	+	LINC00440	+	FALSE	FALSE																																																																									40																																																																											
chr13	90790942	90790942	1	+	LINC00559	-	FALSE	FALSE																																																																																																											435																																									
chr13	91549546	91549546	1	-	LINC00410	-	FALSE	FALSE																																																																																																							2679																																													
chr13	92329221	92329221	1	+	GPC5	+	FALSE	FALSE																																																																																																																																													10							
chr13	92330095	92330095	1	-	GPC5	+	FALSE	FALSE																																																																																																																																													1							
chr13	92672621	92672621	1	-	GPC5	+	FALSE	FALSE																																																																																																																																																				2
chr13	92744414	92744414	1	+	GPC5	+	FALSE	FALSE																																																																																																																										67																										
chr13	94266909	94266909	1	-	GPC6	+	FALSE	FALSE												3																																																																																																																																								
chr13	94885047	94885047	1	+	GPC6-AS1	-	FALSE	FALSE																																																		22																																																																																																		
chr13	95478808	95478808	1	+	LOC101927284	+	FALSE	FALSE																																																																																																																						39																														
chr13	96364345	96364345	1	-	DNAJC3	+	FALSE	FALSE																											1																																																																																																																									
chr13	97902223	97902223	1	+	MBNL2	+	FALSE	FALSE																																																																																																																											7																									
chr13	97931202	97931202	1	+	MBNL2	+	FALSE	FALSE																																																																																																																											3																									
chr13	99985104	99985104	1	+	UBAC2	+	FALSE	FALSE																																																																						37																																																1																														
chr13	102391673	102391673	1	-	FGF14	-	FALSE	FALSE																			3																																																																																																																																	
chr13	103270560	103270560	1	-	TPP2	+	FALSE	FALSE																			24																																																																																																																																	
chr13	103303671	103303671	1	-	TPP2	+	FALSE	FALSE																																																																																																		2																																																		
chr13	104488600	104488600	1	-	LINC01309	+	FALSE	FALSE																																																		22																																																																																																		
chr13	105602256	105602256	1	-	DAOA-AS1	-	FALSE	FALSE																																																																																																			1																																																	
chr13	105643573	105643573	1	-	DAOA-AS1	-	FALSE	FALSE																											46																																																																																																																									
chr13	106401847	106401847	1	-	LINC00343	+	FALSE	FALSE																											9																																																																																																																									
chr13	106447921	106447921	1	+	LINC00343	+	FALSE	FALSE																																																																																																																																																			95	
chr13	106518181	106518181	1	-	LINC00343	+	FALSE	FALSE																																																6																																																																																																				
chr13	109626663	109626663	1	+	MYO16	+	FALSE	FALSE																	288																																																																																																																																			
chr13	111890548	111890548	1	-	ARHGEF7	+	FALSE	FALSE												23				5799																								1153																																																							26																																																					
chr13	111895152	111895152	1	-	ARHGEF7	+	FALSE	FALSE																																																																																																							2																																													
chr13	112301201	112301201	1	+	LINC00354	+	FALSE	FALSE																																				1																																																																																																																
chr13	113213979	113213979	1	-	TUBGCP3	-	FALSE	FALSE																		4437																											1																																																		26	1							7903																																									162				
chr13	113841216	113841216	1	+	PCID2	-	FALSE	FALSE										10																																																																																																																																										
chr13	113909239	113909239	1	-	CUL4A	+	FALSE	FALSE																1021																																																																																																																																				
chr13	114115438	114115438	1	-	DCUN1D2	-	FALSE	FALSE													860				1																																																						1								4	37																					7044			2						1																																						
chr13	114131096	114131096	1	+	DCUN1D2	-	FALSE	FALSE																																																																																																																				2																																
chr13	114959679	114959679	1	-	CDC16	+	FALSE	FALSE																																																																		672																																																																									4144									
chr13	115020162	115020162	1	+	CDC16	+	FALSE	FALSE																																					2			1																	74																																																						3																																					
chr13	115020646	115020646	1	+	CDC16	+	FALSE	FALSE																																																																																		4																																																																		
chr13	115025039	115025039	1	+	CDC16	+	FALSE	FALSE																									4147															2747								16																																																																																																				
chr13	115027744	115027744	1	-	CDC16	+	FALSE	FALSE																									28																																																																																																																											
chr13	115084655	115084655	1	-	CHAMP1	+	FALSE	FALSE																																																																																																		3																																																		
chr13	115089397	115089397	1	+	CHAMP1	+	FALSE	FALSE																			5																																																																																																																																	
chr14	20780987	20780987	1	+	CCNB1IP1	-	FALSE	FALSE																																	911																																																																																																																			
chr14	21159526	21159526	1	+	ANG	+	FALSE	FALSE												13				3911																							871																																																																																																													
chr14	21454783	21454783	1	+	METTL17	+	FALSE	FALSE								2																																																																																																																																												
chr14	21634067	21634067	1	+	OR5AU1	-	FALSE	FALSE																																								2																																																																																																												
chr14	21704950	21704950	1	+	HNRNPC	-	FALSE	FALSE																																																																																																																										78																										
chr14	21798464	21798464	1	-	RPGRIP1	+	FALSE	FALSE																													1																																																																																									39																														
chr14	21919881	21919881	1	-	RAB2B	-	FALSE	FALSE				10																																																																																																																																																
chr14	22499896	22499896	1	-	OR4E2	+	FALSE	FALSE																																																				4																																																																																																
chr14	22544278	22544278	1	+	OR4E2	+	FALSE	FALSE																																																																							12																																																																													
chr14	22548663	22548663	1	+	OR4E2	+	FALSE	FALSE																																																																																														2																																																						
chr14	22656032	22656032	1	-	DAD1	-	FALSE	FALSE																																																																																																																				1																																
chr14	22862823	22862823	1	-	DAD1	-	FALSE	FALSE																																																																																																																																				94																
chr14	22929929	22929929	1	+	DAD1	-	FALSE	FALSE																																																																																																							6																																													
chr14	23042042	23042042	1	+	DAD1	-	FALSE	FALSE													24																																																																																																									1																														
chr14	23208049	23208049	1	+	OXA1L	+	FALSE	FALSE																																																																																																																									1029																											
chr14	23313627	23313627	1	-	MMP14	+	FALSE	FALSE																																																																																1																					60																																			54												
chr14	23381594	23381594	1	+	RBM23	-	FALSE	FALSE																																																																																																																																														8						
chr14	23470995	23470995	1	+	C14orf93	-	FALSE	FALSE																																																																																																						8																																														
chr14	23555462	23555462	1	+	ACIN1	-	FALSE	FALSE																																																																																																																										1																										
chr14	23557920	23557920	1	-	ACIN1	-	FALSE	FALSE																																																																																																		2																																																		
chr14	23780997	23780997	1	-	BCL2L2	+	FALSE	FALSE																																																		46																																																																																																		
chr14	23949292	23949292	1	+	NGDN	+	FALSE	FALSE																																																																																																											16																																									2
chr14	24555596	24555596	1	+	NRL	-	FALSE	FALSE																																																																																																																										409																										
chr14	24872663	24872663	1	-	NYNRIN	+	FALSE	FALSE																																																		4																																																																																																		
chr14	25071295	25071295	1	+	GZMH	-	FALSE	FALSE																								112																																																																																																																												
chr14	25329003	25329003	1	-	STXBP6	-	FALSE	FALSE																																																												8																																																																																								
chr14	25396629	25396629	1	-	STXBP6	-	FALSE	FALSE																																																																																																																																																		8634		
chr14	25431040	25431040	1	-	STXBP6	-	FALSE	FALSE																																																				2																																		1																																																														
chr14	28561617	28561617	1	+	LINC00645	+	FALSE	FALSE																			69																																																																																																																																	
chr14	28885366	28885366	1	-	FOXG1-AS1	-	FALSE	FALSE																																																																																			3																																																																	
chr14	31085245	31085245	1	+	G2E3	+	FALSE	FALSE																																																																																																																											9																									
chr14	31383509	31383509	1	-	STRN3	-	FALSE	FALSE																																																																																																																																														2						
chr14	31464625	31464625	1	-	MIR624	-	FALSE	FALSE																																																																																																		2																																																		
chr14	31492872	31492872	1	-	AP4S1	+	FALSE	FALSE																			1																																206																																																																																																	
chr14	31612949	31612949	1	+	HECTD1	-	FALSE	FALSE																								182																																																																																																																												
chr14	31635373	31635373	1	-	HECTD1	-	FALSE	FALSE																																																										173																																																																																										
chr14	31809969	31809969	1	-	HEATR5A	-	FALSE	FALSE																																																																													2																																																								28															
chr14	31867709	31867709	1	-	HEATR5A	-	FALSE	FALSE																																																																																																																						1																									54					
chr14	32975256	32975256	1	-	AKAP6	+	FALSE	FALSE																																																																																																																																											1									
chr14	34186463	34186463	1	+	NPAS3	+	FALSE	FALSE																		1422																																																																																																																																		
chr14	34444761	34444761	1	+	EGLN3	-	FALSE	FALSE																																606																																																																																																																				
chr14	35132456	35132456	1	+	SNX6	-	FALSE	FALSE																																																		11																																																																																																		
chr14	35231753	35231753	1	-	BAZ1A	-	FALSE	FALSE																																																																																																												3																																								
chr14	35303883	35303883	1	+	BAZ1A	-	FALSE	FALSE																																																																	769																																																																																			
chr14	35728569	35728569	1	+	KIAA0391	+	FALSE	FALSE							7																																																																																																																																													
chr14	37959784	37959784	1	+	MIPOL1	+	FALSE	FALSE																																																																																																																																				89																
chr14	38605921	38605921	1	-	SSTR1	+	FALSE	FALSE																																																																																																																				1																																
chr14	38708772	38708772	1	+	CLEC14A	-	FALSE	FALSE																																																																																		1444																					2967																																													
chr14	39157905	39157905	1	+	LINC00639	-	FALSE	FALSE																																																				3																																																																																																
chr14	39538589	39538589	1	-	SEC23A	-	FALSE	FALSE			4																																																																																																																																																	
chr14	39752779	39752779	1	-	CTAGE5	+	FALSE	FALSE																																																									3																																																																																											
chr14	39767534	39767534	1	-	CTAGE5	+	FALSE	FALSE																									736																																																																																																																											
chr14	39782610	39782610	1	-	CTAGE5	+	FALSE	FALSE																																								11																																																																																																												
chr14	42508475	42508475	1	-	LRFN5	+	FALSE	FALSE																																																									1																																														1																																													
chr14	42948031	42948031	1	+	LRFN5	+	FALSE	FALSE																																											172																																																																																																									
chr14	43054441	43054441	1	-	LRFN5	+	FALSE	FALSE										3																																																																																																																																										
chr14	43217644	43217644	1	-	LRFN5	+	FALSE	FALSE																																																																																																																																														1						
chr14	43585140	43585140	1	-	LRFN5	+	FALSE	FALSE										1																																																																																																																																										
chr14	43608528	43608528	1	-	LRFN5	+	FALSE	FALSE								4711																																																																																																																																												
chr14	43649028	43649028	1	-	LRFN5	+	FALSE	FALSE																																																																																																											720															238																										
chr14	44216644	44216644	1	+	FSCB	-	FALSE	FALSE																													1															7																																																																																																								
chr14	45534872	45534872	1	+	FAM179B	+	FALSE	FALSE																																																																																																																											16																									
chr14	45557910	45557910	1	-	PRPF39	+	FALSE	FALSE																			43																																																																																																																																	
chr14	45692902	45692902	1	-	MIS18BP1	-	FALSE	FALSE																																																																																																																																					81															
chr14	46741201	46741201	1	+	LINC00871	+	FALSE	FALSE																																							172																																																																																																													
chr14	46800715	46800715	1	+	LINC00871	+	FALSE	FALSE																																																																																			156																																																																	
chr14	46808555	46808555	1	-	LINC00871	+	FALSE	FALSE																																																				3																																																																																																
chr14	47686883	47686883	1	-	MDGA2	-	FALSE	FALSE										7																																																																																																																																										
chr14	47752649	47752649	1	+	MDGA2	-	FALSE	FALSE																																																																																																																											4																									
chr14	48743208	48743208	1	-	LINC00648	-	FALSE	FALSE																																								17																										1215																																																																																		
chr14	49638699	49638699	1	+	RPS29	-	FALSE	FALSE																	2																															6																																																																																																				
chr14	50269271	50269271	1	-	NEMF	-	FALSE	FALSE			2																																																																																																																																															14079		
chr14	50603543	50603543	1	+	SOS2	-	FALSE	FALSE																																																																																																																																					5															
chr14	50626044	50626044	1	+	SOS2	-	FALSE	FALSE				4																		9																																			3398																																																													4																														
chr14	50646432	50646432	1	+	SOS2	-	FALSE	FALSE																																																				1																																																																																																
chr14	50907098	50907098	1	+	MAP4K5	-	FALSE	FALSE																																																		20																																																																																																		
chr14	50909230	50909230	1	-	MAP4K5	-	FALSE	FALSE				4	1								6																																									1																									128									1																														23								61																						
chr14	50932180	50932180	1	+	MAP4K5	-	FALSE	FALSE																											47																																																																																																																									
chr14	50951262	50951262	1	+	MAP4K5	-	FALSE	FALSE																																																																					8																																																																															
chr14	50952280	50952280	1	-	MAP4K5	-	FALSE	FALSE																																																																																																																																																		4740		
chr14	51109105	51109105	1	-	SAV1	-	FALSE	FALSE																																																																																																																				1																																
chr14	51271327	51271327	1	-	NIN	-	FALSE	FALSE																																																																												3																																																																								
