seqnames	start	end	width	strand	closest_gene	strand_gene	collision	reassigned	reassigned.to	CD13_BM_01	CD13_BM_03	CD13_BM_12	CD13_BM_18	CD14_PB_01	CD14_PB_03	CD14_PB_06	CD14_PB_09	CD14_PB_12	CD14_PB_18	CD15_BM_01	CD15_BM_03	CD15_BM_12	CD15_BM_18	CD15_PB_01	CD15_PB_03	CD15_PB_06	CD15_PB_09	CD15_PB_12	CD15_PB_18	CD19_BM_01	CD19_BM_03	CD19_BM_12	CD19_BM_18	CD19_PB_01	CD19_PB_03	CD19_PB_06	CD19_PB_09	CD19_PB_12	CD19_PB_18	CD34_BM_00	CD34_BM_01	CD34_BM_03	CD34_BM_06	CD34_BM_12	CD34_BM_18	CD3_BM_01	CD3_BM_03	CD3_BM_12	CD3_BM_18	CD3_PB_01	CD3_PB_03	CD3_PB_06	CD3_PB_09	CD3_PB_12	CD3_PB_18	CD56_BM_03	CD56_BM_12	CD56_BM_18	CD56_PB_01	CD56_PB_03	CD56_PB_06	CD56_PB_09	CD56_PB_12	CD56_PB_18	CD61_BM_12	CD61_BM_18	CFC_BM_00	CFC_BM_01	CFC_BM_03	CFC_BM_06	CFC_BM_12	CFC_PB_06	CFC_PB_09	CFC_PB_12	GLY_BM_03	GLY_BM_12	GLY_BM_18	MNC_BM_01	MNC_BM_03	MNC_BM_06	MNC_BM_12	MNC_BM_18	MNC_PB_01	MNC_PB_03	MNC_PB_06	MNC_PB_09	MNC_PB_12	MNC_PB_18	WHOLE.BM_BM_01	WHOLE.BM_BM_03	WHOLE.BM_BM_06	WHOLE.BM_BM_12	WHOLE.BM_BM_18	WHOLE.PB_PB_01	WHOLE.PB_PB_03	WHOLE.PB_PB_06	WHOLE.PB_PB_09	WHOLE.PB_PB_12	WHOLE.PB_PB_18
chr11	64044412	64044412	1	-	BAD	-	FALSE	FALSE																																																																					908																						
chr11	64077802	64077802	1	-	ESRRA	+	FALSE	FALSE																																																																																							33				
chr11	64143245	64143245	1	-	RPS6KA4	+	FALSE	FALSE																																																																																							144				
chr11	64310080	64310080	1	+	SLC22A11	+	FALSE	FALSE																																																																										2411																	
chr11	64330810	64330810	1	-	SLC22A11	+	FALSE	FALSE																																												1354																																															
chr11	64343060	64343060	1	+	SLC22A11	+	FALSE	FALSE											17																																																																																
chr11	64385278	64385278	1	-	NRXN2	-	FALSE	FALSE																																																																																			1521								
chr11	64499494	64499494	1	+	RASGRP2	-	FALSE	FALSE																																																														6708																													
chr11	64501922	64501922	1	+	RASGRP2	-	FALSE	FALSE																																	224																																																										
chr11	64522897	64522897	1	+	PYGM	-	FALSE	FALSE																				1376																																																																							
chr11	64527732	64527732	1	+	PYGM	-	FALSE	FALSE																																																																										21																	
chr11	64538647	64538647	1	-	SF1	-	FALSE	FALSE									8892																																																																																		
chr11	64541346	64541346	1	-	SF1	-	FALSE	FALSE																745																																																																											
chr11	64542002	64542002	1	-	SF1	-	FALSE	FALSE			1288										312																																																620																														
chr11	64555729	64555729	1	+	MAP4K2	-	FALSE	FALSE																														18																																																													
chr11	64564163	64564163	1	+	MAP4K2	-	FALSE	FALSE						7																																																																																					
chr11	64564388	64564388	1	-	MAP4K2	-	FALSE	FALSE																																																																																		2									
chr11	64608329	64608329	1	+	CDC42BPG	-	FALSE	FALSE																																																									10																																		
chr11	64625107	64625107	1	-	EHD1	-	FALSE	FALSE																	295																																																																										
chr11	64689338	64689338	1	+	PPP2R5B	+	FALSE	FALSE																																																																							1974																				
chr11	64796993	64796993	1	-	SNX15	+	FALSE	FALSE						40																																																																																					
chr11	64828752	64828752	1	-	NAALADL1	-	FALSE	FALSE							137																																																																																				
chr11	64839902	64839902	1	-	CDCA5	-	FALSE	FALSE																																																																		1122																									
chr11	64865104	64865104	1	-	VPS51	+	FALSE	FALSE																																																																			16																								
chr11	64870714	64870714	1	-	VPS51	+	FALSE	FALSE																																22																																																											
chr11	64871882	64871882	1	-	VPS51	+	FALSE	FALSE																																																																																								1883			
chr11	64873386	64873386	1	-	VPS51	+	FALSE	FALSE																								30																																																																			
chr11	64873506	64873506	1	+	VPS51	+	FALSE	FALSE																												2																																																															
chr11	64900887	64900887	1	+	SYVN1	-	FALSE	FALSE																																																																																										3970	
chr11	64909905	64909905	1	-	SYVN1	-	FALSE	FALSE															1																																																																												
chr11	64924820	64924820	1	+	SPDYC	+	FALSE	FALSE																																	360																																																										
chr11	64961405	64961405	1	-	CAPN1	+	FALSE	FALSE																																																																																							912				
chr11	64962194	64962194	1	-	CAPN1	+	FALSE	FALSE																																																								1295																																			
chr11	64963365	64963365	1	-	CAPN1	+	FALSE	FALSE									1																																																																																		
chr11	64963513	64963513	1	-	CAPN1	+	FALSE	FALSE																																					1																																																						
chr11	64963798	64963798	1	-	CAPN1	+	FALSE	FALSE																																																									2																																		
chr11	64964032	64964032	1	-	CAPN1	+	FALSE	FALSE																																																																								3082																			
chr11	64964117	64964117	1	+	CAPN1	+	FALSE	FALSE					502																																																																																						
chr11	64964700	64964700	1	+	CAPN1	+	FALSE	FALSE									978																																																																																		
chr11	64966337	64966337	1	-	CAPN1	+	FALSE	FALSE																																				119																																																							
chr11	64969440	64969440	1	-	CAPN1	+	FALSE	FALSE																																																																		23																									
chr11	64988966	64988966	1	+	SLC22A20	+	FALSE	FALSE																																																													36																														
chr11	64999920	64999920	1	+	SLC22A20	+	FALSE	FALSE																																	21																																																										
chr11	65034793	65034793	1	-	POLA2	+	FALSE	FALSE																																												49																																	3835														
chr11	65036301	65036301	1	+	POLA2	+	FALSE	FALSE															45																																																																												
chr11	65039924	65039924	1	-	POLA2	+	FALSE	FALSE														2821																																											247																																		
chr11	65043382	65043382	1	-	POLA2	+	FALSE	FALSE																																						82																																																					
chr11	65045978	65045978	1	-	POLA2	+	FALSE	FALSE																																																											1																																
chr11	65046128	65046128	1	-	POLA2	+	FALSE	FALSE																																		1915																																																									
chr11	65047947	65047947	1	-	POLA2	+	FALSE	FALSE															335																																																										245																		
chr11	65049561	65049561	1	-	POLA2	+	FALSE	FALSE																																																																	99																										
chr11	65050435	65050435	1	-	POLA2	+	FALSE	FALSE																																																						45																																					
chr11	65105177	65105177	1	+	DPF2	+	FALSE	FALSE																																																																																									553		
chr11	65107059	65107059	1	-	DPF2	+	FALSE	FALSE								1424																																																																52																			
chr11	65107969	65107969	1	-	DPF2	+	FALSE	FALSE														3				2227																																					2549																																901				
chr11	65118509	65118509	1	-	DPF2	+	FALSE	FALSE																																222																																																											
chr11	65127723	65127723	1	-	TIGD3	+	FALSE	FALSE																																																																				2090																							
chr11	65148239	65148239	1	+	SLC25A45	-	FALSE	FALSE																																														3655																																													
chr11	65169258	65169258	1	+	FRMD8	+	FALSE	FALSE																																																																					13																						
chr11	65176788	65176788	1	-	FRMD8	+	FALSE	FALSE																																								3																																	18																		
chr11	65195186	65195186	1	-	NEAT1	+	FALSE	FALSE							4482																																																																																				
chr11	65195568	65195568	1	+	NEAT1	+	FALSE	FALSE											12																																																																																
chr11	65195925	65195925	1	+	NEAT1	+	FALSE	FALSE				1748																																																																																							
chr11	65197132	65197132	1	+	NEAT1	+	FALSE	FALSE																																																																																							438				
chr11	65199259	65199259	1	+	NEAT1	+	FALSE	FALSE			151																																																																																								
chr11	65200574	65200574	1	+	NEAT1	+	FALSE	FALSE																												1																																																															
chr11	65201792	65201792	1	+	NEAT1	+	FALSE	FALSE																																				138											6457										763																																		
chr11	65201817	65201817	1	+	NEAT1	+	FALSE	FALSE														818																																																																													
chr11	65202294	65202294	1	-	NEAT1	+	FALSE	FALSE					515																																																																																						
chr11	65202968	65202968	1	+	MIR612	+	FALSE	FALSE																																															1789																																												
chr11	65203302	65203302	1	-	MIR612	+	FALSE	FALSE																																																																									1766																		
chr11	65203452	65203452	1	-	MIR612	+	FALSE	FALSE																		1047																																																																									
chr11	65203754	65203754	1	+	MIR612	+	FALSE	FALSE																																																														47																													
chr11	65204138	65204138	1	-	MIR612	+	FALSE	FALSE																														223																																																													
chr11	65205076	65205076	1	+	MIR612	+	FALSE	FALSE																		240																																						309																																			
chr11	65205424	65205424	1	-	MIR612	+	FALSE	FALSE																																																																																							2219				
chr11	65205662	65205662	1	-	MIR612	+	FALSE	FALSE																																																																				928																							
chr11	65206166	65206166	1	-	MIR612	+	FALSE	FALSE																																																																																							622				
chr11	65225227	65225227	1	-	MIR612	+	FALSE	FALSE																				466																																																																							
chr11	65226347	65226347	1	+	MIR612	+	FALSE	FALSE															2																																																																												
chr11	65226951	65226951	1	+	MIR612	+	FALSE	FALSE														2148																																																																													
chr11	65233793	65233793	1	+	MIR612	+	FALSE	FALSE																																																									1061																																		
chr11	65234046	65234046	1	+	MIR612	+	FALSE	FALSE																																																																																2310											
chr11	65237618	65237618	1	-	MIR612	+	FALSE	FALSE																																					96																																																						
chr11	65251667	65251667	1	+	MALAT1	+	FALSE	FALSE																											3																																																																
chr11	65253219	65253219	1	-	MALAT1	+	FALSE	FALSE																																																																												19															
chr11	65263342	65263342	1	-	MALAT1	+	FALSE	FALSE																				1202																													80															2																											
chr11	65270506	65270506	1	-	MALAT1	+	FALSE	FALSE																																																														4																					2487								
chr11	65270705	65270705	1	-	MALAT1	+	FALSE	FALSE																								1																																																																			
chr11	65270963	65270963	1	-	MALAT1	+	FALSE	FALSE																																												275																																															
chr11	65288258	65288258	1	-	SCYL1	+	FALSE	FALSE																																																																																			1550								
chr11	65316827	65316827	1	+	LTBP3	-	FALSE	FALSE																																				30																																																							
chr11	65332462	65332462	1	+	SSSCA1-AS1	-	FALSE	FALSE								1365						900																																																																													
chr11	65334506	65334506	1	+	SSSCA1-AS1	-	FALSE	FALSE																																												2																																															
chr11	65355419	65355419	1	+	EHBP1L1	+	FALSE	FALSE					731																							37																																																															
chr11	65402731	65402731	1	+	PCNXL3	+	FALSE	FALSE								267																																																																																			
chr11	65416834	65416834	1	-	SIPA1	+	FALSE	FALSE						227																																																																																					
chr11	65419192	65419192	1	+	SIPA1	+	FALSE	FALSE				814																																																																																							
chr11	65429029	65429029	1	+	RELA	-	FALSE	FALSE																																																													2702																										1				
chr11	65437669	65437669	1	+	RELA	-	FALSE	FALSE																		1																																																																									
chr11	65438755	65438755	1	+	RELA	-	FALSE	FALSE																																																					2889																																						
chr11	65461190	65461190	1	+	KAT5	+	FALSE	FALSE																																																47																																											
chr11	65603235	65603235	1	+	SNX32	+	FALSE	FALSE												1330																																																																															
chr11	65606441	65606441	1	+	SNX32	+	FALSE	FALSE																																																																									334																		
chr11	65608692	65608692	1	-	SNX32	+	FALSE	FALSE										512																																																							761																										
chr11	65609563	65609563	1	-	SNX32	+	FALSE	FALSE																																	35																																																										
chr11	65609801	65609801	1	+	SNX32	+	FALSE	FALSE																																																																																							14				
chr11	65633402	65633402	1	-	MUS81	+	FALSE	FALSE																																																																																									2393		
chr11	65635740	65635740	1	+	EFEMP2	-	FALSE	FALSE																																																																																								1900			
chr11	65671552	65671552	1	-	FOSL1	-	FALSE	FALSE																																																													6422								364			58		604																	
chr11	65678836	65678836	1	-	C11orf68	-	FALSE	FALSE																184																																																																											
chr11	65679372	65679372	1	-	C11orf68	-	FALSE	FALSE																																																																																							77				
chr11	65696513	65696513	1	-	DRAP1	+	FALSE	FALSE								5																																																																																			
chr11	65700192	65700192	1	-	DRAP1	+	FALSE	FALSE																																																											619																																
chr11	65704387	65704387	1	-	TSGA10IP	+	FALSE	FALSE						206																																																																																					
chr11	65759395	65759395	1	+	EIF1AD	-	FALSE	FALSE																																			2387																																																								
chr11	65763463	65763463	1	-	EIF1AD	-	FALSE	FALSE																																																																																										1	
chr11	65763632	65763632	1	-	EIF1AD	-	FALSE	FALSE																															529																																																												
chr11	65773233	65773233	1	+	BANF1	+	FALSE	FALSE						39																																																																																					
chr11	65853631	65853631	1	-	PACS1	+	FALSE	FALSE																																3																																																											
chr11	65855621	65855621	1	-	PACS1	+	FALSE	FALSE											737																																																																																
chr11	65857610	65857610	1	-	PACS1	+	FALSE	FALSE																																																																22																											
chr11	65870021	65870021	1	+	PACS1	+	FALSE	FALSE																											1292																																																																
chr11	65871769	65871769	1	-	PACS1	+	FALSE	FALSE																				2853																																																																							
chr11	65872926	65872926	1	+	PACS1	+	FALSE	FALSE																				803																																																																							
chr11	65878566	65878566	1	+	PACS1	+	FALSE	FALSE																																																																																										1825	
chr11	65888607	65888607	1	-	PACS1	+	FALSE	FALSE																																									12																																																		
chr11	65899547	65899547	1	-	PACS1	+	FALSE	FALSE																				2065																																																																							
chr11	65899925	65899925	1	+	PACS1	+	FALSE	FALSE																																														1107	3196																																												
chr11	65905646	65905646	1	+	PACS1	+	FALSE	FALSE																																																																										3220																	
chr11	65907976	65907976	1	+	PACS1	+	FALSE	FALSE																																																																	2603																										
chr11	65912101	65912101	1	-	PACS1	+	FALSE	FALSE					3																																																																																						
chr11	65912514	65912514	1	-	PACS1	+	FALSE	FALSE																																																																									1																		
chr11	65916386	65916386	1	+	PACS1	+	FALSE	FALSE																																														190																																													
chr11	65919232	65919232	1	-	PACS1	+	FALSE	FALSE												2143																																																																															
chr11	65919441	65919441	1	-	PACS1	+	FALSE	FALSE									84																																																																																		
chr11	65922592	65922592	1	+	PACS1	+	FALSE	FALSE																																																																																								1			52
chr11	65922630	65922630	1	-	PACS1	+	FALSE	FALSE							15																																																																																				
chr11	65922714	65922714	1	-	PACS1	+	FALSE	FALSE																																								2619																																																			
chr11	65922986	65922986	1	+	PACS1	+	FALSE	FALSE														6456													40																			4530																																													
chr11	65924999	65924999	1	+	PACS1	+	FALSE	FALSE																	1193																																																																										
chr11	65926065	65926065	1	+	PACS1	+	FALSE	FALSE																																																													390																														
chr11	65926994	65926994	1	-	PACS1	+	FALSE	FALSE			177																																																																																								
chr11	65927651	65927651	1	-	PACS1	+	FALSE	FALSE															44																																																																												
chr11	65930025	65930025	1	+	PACS1	+	FALSE	FALSE																																																																							361																				
chr11	65937820	65937820	1	+	PACS1	+	FALSE	FALSE																											1322																																																																
chr11	65938726	65938726	1	+	PACS1	+	FALSE	FALSE																																																																																							4				
chr11	65938968	65938968	1	-	PACS1	+	FALSE	FALSE																																																														696																													
chr11	65940106	65940106	1	+	PACS1	+	FALSE	FALSE											3880																																																																																
chr11	65940713	65940713	1	-	PACS1	+	FALSE	FALSE																																																													58																														
chr11	65944759	65944759	1	-	PACS1	+	FALSE	FALSE						104																																																																																					
chr11	65946798	65946798	1	-	PACS1	+	FALSE	FALSE																																																												16																															
chr11	65946983	65946983	1	-	PACS1	+	FALSE	FALSE					183																																																																																						
chr11	65951000	65951000	1	+	PACS1	+	FALSE	FALSE																																																	359													647										1373	72	2513																	
chr11	65954207	65954207	1	-	PACS1	+	FALSE	FALSE																																																																						3343																					
chr11	66201147	66201147	1	-	MRPL11	-	FALSE	FALSE																																																																																							4				
chr11	66238165	66238165	1	-	PELI3	+	FALSE	FALSE																																												865																																															
chr11	66403361	66403361	1	+	RBM4	+	FALSE	FALSE																							4362																																																																				
chr11	66404120	66404120	1	-	RBM4	+	FALSE	FALSE																												2994																																				5																											
chr11	66411541	66411541	1	+	RBM4	+	FALSE	FALSE																																																								1074																																			
chr11	66411673	66411673	1	-	RBM14-RBM4	+	FALSE	FALSE																																																													1816																														
chr11	66411857	66411857	1	+	RBM14-RBM4	+	FALSE	FALSE					47																				108																																				368													4207																	
chr11	66413351	66413351	1	+	RBM14-RBM4	+	FALSE	FALSE												1																																																																															
chr11	66413639	66413639	1	-	RBM4	+	FALSE	FALSE						6																																																																																					
chr11	66440758	66440758	1	+	RBM4B	-	FALSE	FALSE														3311																																																																													
chr11	66443813	66443813	1	+	RBM4B	-	FALSE	FALSE																												1																																																															
chr11	66476536	66476536	1	-	SPTBN2	-	FALSE	FALSE																																23																																																											
chr11	66501237	66501237	1	-	C11orf80	+	FALSE	FALSE																																																																																							219				
chr11	66533227	66533227	1	+	C11orf80	+	FALSE	FALSE																																																																																											2
chr11	66544146	66544146	1	-	C11orf80	+	FALSE	FALSE																																																																							6																				
chr11	66554108	66554108	1	-	C11orf80	+	FALSE	FALSE																321																																																																											
chr11	66554211	66554211	1	+	C11orf80	+	FALSE	FALSE																																																				1559																																							
chr11	66561282	66561282	1	-	C11orf80	+	FALSE	FALSE																																																																															3921												
chr11	66571546	66571546	1	-	C11orf80	+	FALSE	FALSE																																																														2333																													
chr11	66899499	66899499	1	-	KDM2A	+	FALSE	FALSE						154																																																																																					
chr11	66909432	66909432	1	+	KDM2A	+	FALSE	FALSE																																																																																8											
chr11	66916413	66916413	1	+	KDM2A	+	FALSE	FALSE																																																																																							1322				
chr11	66919159	66919159	1	-	KDM2A	+	FALSE	FALSE																																	53																																											1448															
chr11	66920977	66920977	1	-	KDM2A	+	FALSE	FALSE																																																								5439										719																									
chr11	66926794	66926794	1	-	KDM2A	+	FALSE	FALSE																														39																																																													
chr11	66928592	66928592	1	+	KDM2A	+	FALSE	FALSE																																																																																							495				
chr11	66932395	66932395	1	-	KDM2A	+	FALSE	FALSE											1050																																																																												747				
chr11	66932423	66932423	1	-	KDM2A	+	FALSE	FALSE																																																																																							46				
chr11	66936301	66936301	1	-	KDM2A	+	FALSE	FALSE																			1517																																																																							1	
chr11	66939552	66939552	1	+	KDM2A	+	FALSE	FALSE																																																																3																											
chr11	66942954	66942954	1	+	KDM2A	+	FALSE	FALSE																																444																																																											
chr11	66943295	66943295	1	-	KDM2A	+	FALSE	FALSE																	302																																																																										
chr11	66945675	66945675	1	+	KDM2A	+	FALSE	FALSE																14																																																																											
chr11	66946061	66946061	1	-	KDM2A	+	FALSE	FALSE																																																																																							83				
chr11	66947381	66947381	1	+	KDM2A	+	FALSE	FALSE																																					444																																			313																			
chr11	66948337	66948337	1	-	KDM2A	+	FALSE	FALSE																			6																																																																								
chr11	66948421	66948421	1	+	KDM2A	+	FALSE	FALSE		145																																																																																									
chr11	66952914	66952914	1	-	KDM2A	+	FALSE	FALSE																																																																										3248																	
chr11	66954214	66954214	1	-	KDM2A	+	FALSE	FALSE																																																																																							1093				
chr11	66961336	66961336	1	-	KDM2A	+	FALSE	FALSE																																																								874																																			
chr11	66961714	66961714	1	+	KDM2A	+	FALSE	FALSE																																91																																																											
chr11	66962157	66962157	1	+	KDM2A	+	FALSE	FALSE																														303																																																													
chr11	66965013	66965013	1	-	KDM2A	+	FALSE	FALSE																																																																																							15				
chr11	66966773	66966773	1	-	KDM2A	+	FALSE	FALSE																																																																																							367				
chr11	66972843	66972843	1	+	KDM2A	+	FALSE	FALSE																																																																					4																						
chr11	66973388	66973388	1	+	KDM2A	+	FALSE	FALSE																													20																																																														
chr11	66973415	66973415	1	+	KDM2A	+	FALSE	FALSE							6																																																																																				
chr11	66975873	66975873	1	+	KDM2A	+	FALSE	FALSE																																181																																																											
chr11	66978244	66978244	1	-	KDM2A	+	FALSE	FALSE																																																				12																																							
chr11	66978622	66978622	1	-	KDM2A	+	FALSE	FALSE																		3605																																			2936																																						
chr11	66983086	66983086	1	-	KDM2A	+	FALSE	FALSE																																																																						112																					
chr11	66986817	66986817	1	+	KDM2A	+	FALSE	FALSE					110																																																																																						
chr11	66986861	66986861	1	+	KDM2A	+	FALSE	FALSE						94																																																																																					
chr11	66988114	66988114	1	+	KDM2A	+	FALSE	FALSE																		248																																																																									
chr11	66991426	66991426	1	-	KDM2A	+	FALSE	FALSE																																																														622																													
chr11	66999342	66999342	1	-	KDM2A	+	FALSE	FALSE						66																																																																																					
chr11	66999851	66999851	1	-	KDM2A	+	FALSE	FALSE					5																																																																																						
chr11	67014382	67014382	1	+	KDM2A	+	FALSE	FALSE						70																																																																																					
chr11	67040302	67040302	1	-	ADRBK1	+	FALSE	FALSE			1524																																																																																								
chr11	67048741	67048741	1	-	ADRBK1	+	FALSE	FALSE																														12																																																													
chr11	67063617	67063617	1	-	ANKRD13D	+	FALSE	FALSE																							12																																																																				
chr11	67063840	67063840	1	-	ANKRD13D	+	FALSE	FALSE																																																																																		102									
chr11	67064716	67064716	1	-	ANKRD13D	+	FALSE	FALSE																																																																							1																				
chr11	67077283	67077283	1	-	SSH3	+	FALSE	FALSE																																			1976																											4847										56											1672								
chr11	67128190	67128190	1	+	CLCF1	-	FALSE	FALSE																																30																																																											
chr11	67132812	67132812	1	+	CLCF1	-	FALSE	FALSE																																																																								1524																			
chr11	67178027	67178027	1	-	TBC1D10C	+	FALSE	FALSE					2																																																																																						
chr11	67179015	67179015	1	-	TBC1D10C	+	FALSE	FALSE		5635																																																																																									
chr11	67187314	67187314	1	-	CARNS1	+	FALSE	FALSE																																																													261																														
chr11	67201712	67201712	1	-	RPS6KB2	+	FALSE	FALSE																																																																																								1			
chr11	67201726	67201726	1	-	RPS6KB2	+	FALSE	FALSE																																																																																								5171			
chr11	67357725	67357725	1	+	GSTP1	+	FALSE	FALSE							1																																																																																				
chr11	67367784	67367784	1	+	NDUFV1	+	FALSE	FALSE																																														1																																													
chr11	67425080	67425080	1	+	ALDH3B2	-	FALSE	FALSE																												12																																																															
chr11	67453945	67453945	1	+	ALDH3B2	-	FALSE	FALSE																																																																							5195																				
chr11	67459369	67459369	1	+	ALDH3B2	-	FALSE	FALSE						4																																																																																					
chr11	67591613	67591613	1	+	FAM86C2P	-	FALSE	FALSE																					5																																																																						
chr11	67852239	67852239	1	+	CHKA	-	FALSE	FALSE																																																																																							6				
chr11	67852685	67852685	1	-	CHKA	-	FALSE	FALSE																																																																							2425																				
chr11	67854719	67854719	1	-	CHKA	-	FALSE	FALSE																41																																																																											
chr11	67877107	67877107	1	-	CHKA	-	FALSE	FALSE																468																																																																											
chr11	67886279	67886279	1	-	CHKA	-	FALSE	FALSE																																12																																																											
chr11	67939302	67939302	1	+	SUV420H1	-	FALSE	FALSE					123																																																																																						
chr11	67949932	67949932	1	-	SUV420H1	-	FALSE	FALSE						262																																																																																					
chr11	67952611	67952611	1	-	SUV420H1	-	FALSE	FALSE																											2617																																																	22															
chr11	67953192	67953192	1	+	SUV420H1	-	FALSE	FALSE																																																	46																																										
chr11	67953531	67953531	1	+	SUV420H1	-	FALSE	FALSE																															5608																																																												
chr11	68089706	68089706	1	-	LRP5	+	FALSE	FALSE							439																																																																																				
chr11	68092605	68092605	1	+	LRP5	+	FALSE	FALSE																																																																						3420																					
chr11	68200931	68200931	1	+	LRP5	+	FALSE	FALSE									1499																																																									3615																									
chr11	68235377	68235377	1	-	PPP6R3	+	FALSE	FALSE																			2																																																																								
chr11	68235382	68235382	1	-	PPP6R3	+	FALSE	FALSE																			1557																																																																								
chr11	68235608	68235608	1	+	PPP6R3	+	FALSE	FALSE																																																																									1008																		
chr11	68250434	68250434	1	+	PPP6R3	+	FALSE	FALSE						108																																																																																					
chr11	68253036	68253036	1	-	PPP6R3	+	FALSE	FALSE						43																																																																																					
chr11	68257806	68257806	1	-	PPP6R3	+	FALSE	FALSE														202																																																																													
chr11	68262145	68262145	1	+	PPP6R3	+	FALSE	FALSE																																																														93																													
chr11	68267179	68267179	1	-	PPP6R3	+	FALSE	FALSE																																															3618																																												
chr11	68272210	68272210	1	-	PPP6R3	+	FALSE	FALSE																									1235																															544																						5626					725								
chr11	68273312	68273312	1	+	PPP6R3	+	FALSE	FALSE													2227																																			3086																																											
chr11	68284327	68284327	1	-	PPP6R3	+	FALSE	FALSE																																																												3826																															
chr11	68286683	68286683	1	-	PPP6R3	+	FALSE	FALSE																																																								1																																			
chr11	68286930	68286930	1	+	PPP6R3	+	FALSE	FALSE						129																																																																																					
chr11	68290716	68290716	1	+	PPP6R3	+	FALSE	FALSE								5952																																																																2122																			
chr11	68295270	68295270	1	-	PPP6R3	+	FALSE	FALSE								38																																																																																			
chr11	68295910	68295910	1	+	PPP6R3	+	FALSE	FALSE									19																																																																18																		
chr11	68297863	68297863	1	+	PPP6R3	+	FALSE	FALSE																																																																		2328																									
chr11	68302485	68302485	1	-	PPP6R3	+	FALSE	FALSE																																																																		11108																									
chr11	68322122	68322122	1	+	PPP6R3	+	FALSE	FALSE					3060																																9848																															13	602					6976																	
chr11	68327606	68327606	1	-	PPP6R3	+	FALSE	FALSE																																																					28														5708																				6				
chr11	68522716	68522716	1	-	CPT1A	-	FALSE	FALSE						339																																																																																					
chr11	68524025	68524025	1	-	CPT1A	-	FALSE	FALSE												1480																																																																															
chr11	68690453	68690453	1	-	IGHMBP2	+	FALSE	FALSE														3880																																																																													
chr11	69005980	69005980	1	-	MYEOV	+	FALSE	FALSE																					453																																																																						
chr11	69372969	69372969	1	-	LINC01488	+	FALSE	FALSE																																																																																				15							
chr11	70152668	70152668	1	+	PPFIA1	+	FALSE	FALSE																																																																						2802																					
chr11	71550257	71550257	1	+	DEFB108B	+	FALSE	FALSE																																11																																																											
chr11	71561202	71561202	1	-	DEFB108B	+	FALSE	FALSE																																		29																																																394									
chr11	71584398	71584398	1	+	LOC100129216	+	FALSE	FALSE								1483						20																																																																													
chr11	71592417	71592417	1	+	LOC100129216	+	FALSE	FALSE																																																																									592																		
chr11	71594401	71594401	1	+	LOC100129216	+	FALSE	FALSE																																																													1228																														
chr11	71679858	71679858	1	-	RNF121	+	FALSE	FALSE																																311																																																											
chr11	71680534	71680534	1	-	RNF121	+	FALSE	FALSE																																																																							27																				
chr11	71694374	71694374	1	-	RNF121	+	FALSE	FALSE																																																																																							278				
chr11	71738089	71738089	1	+	NUMA1	-	FALSE	FALSE																		44																																																																									
chr11	71746186	71746186	1	+	NUMA1	-	FALSE	FALSE																																																																					29																						
chr11	71759684	71759684	1	+	NUMA1	-	FALSE	FALSE																																																63																																											
chr11	71767839	71767839	1	-	NUMA1	-	FALSE	FALSE																																																																																			10								
chr11	71973856	71973856	1	-	PHOX2A	-	FALSE	FALSE																																																																																							350				
chr11	72036201	72036201	1	+	CLPB	-	FALSE	FALSE																																																																																			38								
chr11	72060554	72060554	1	+	CLPB	-	FALSE	FALSE																48																																																																											
chr11	72096039	72096039	1	+	CLPB	-	FALSE	FALSE						172																																																																																					
chr11	72108111	72108111	1	-	CLPB	-	FALSE	FALSE																																																													51																														
chr11	72205607	72205607	1	+	CLPB	-	FALSE	FALSE																																810																																																											
chr11	72423522	72423522	1	-	ARAP1	-	FALSE	FALSE																																																													404																														
chr11	72472884	72472884	1	+	STARD10	-	FALSE	FALSE				66																																																																																							
chr11	72513730	72513730	1	+	STARD10	-	FALSE	FALSE								14																																																																																			
chr11	72550946	72550946	1	+	FCHSD2	-	FALSE	FALSE									1064																																																																																2365		
chr11	72584869	72584869	1	+	FCHSD2	-	FALSE	FALSE																																																																			1077																								
chr11	72595432	72595432	1	+	FCHSD2	-	FALSE	FALSE																																																																		31																									
chr11	72599288	72599288	1	+	FCHSD2	-	FALSE	FALSE																																														3																																													
chr11	72603527	72603527	1	+	MIR4459	+	FALSE	FALSE																	1																																																																										
chr11	72628641	72628641	1	+	FCHSD2	-	FALSE	FALSE											16																																																																																
chr11	72629543	72629543	1	+	FCHSD2	-	FALSE	FALSE																																												925																																															
chr11	72629860	72629860	1	-	FCHSD2	-	FALSE	FALSE																																																												579																															
chr11	72641445	72641445	1	+	FCHSD2	-	FALSE	FALSE																														66																																																													
chr11	72692758	72692758	1	-	FCHSD2	-	FALSE	FALSE																																		11																																					1864																				
chr11	72708625	72708625	1	+	FCHSD2	-	FALSE	FALSE																																																																														2973													
chr11	72712214	72712214	1	-	FCHSD2	-	FALSE	FALSE																												2622																																																															
chr11	72712568	72712568	1	-	FCHSD2	-	FALSE	FALSE																																		1																																																									
chr11	72731374	72731374	1	-	FCHSD2	-	FALSE	FALSE																																																																					78																						
chr11	72745504	72745504	1	+	FCHSD2	-	FALSE	FALSE																																				2118																																												181								4			
chr11	72760679	72760679	1	+	FCHSD2	-	FALSE	FALSE																																	23																																																										
chr11	72760974	72760974	1	-	FCHSD2	-	FALSE	FALSE																														664																																																													
